title,album,year,lyrics,cover,songwriters_parsed,vocals_parsed
12-Bar Original,Anthology 2,1965,,False,"[""John Lennon"", ""Paul McCartney"", ""George Harrison"", ""Ringo Starr""]","[""Instrumental""]"
Across the Universe,Let It Be,1968,"Words are flowing out like endless rain into a paper cup, They slither while they pass, they slip away across the universe Pools of sorrow, waves of joy are drifting through my open mind, Possessing and caressing me. Jai guru deva om Nothing's gonna change my world, Nothing's gonna change my world, Nothing's gonna change my world, Nothing's gonna change my world. Images of broken light which dance before me like a million eyes, They call me on and on across the universe, Thoughts meander like a restless wind inside a letter box they Tumble blindly as they make their way Across the universe Jai guru deva om Nothing's gonna change my world, Nothing's gonna change my world, Nothing's gonna change my world, Nothing's gonna change my world. Sounds of laughter shades of light are ringing Through my open views inciting and inviting me Limitless undying love which shines around me like a Million suns, it calls me on and on Across the universe Jai guru deva om Nothing's gonna change my world, Nothing's gonna change my world, Nothing's gonna change my world, Nothing's gonna change my world. Jai guru deva Jai guru deva Jai guru deva",False,"[""John Lennon""]","[""Lennon""]"
Act Naturally,Help!,1965,"They're gonna put me in the movies They're gonna make a big star out of me We'll make a film about a man that's sad and lonely And all I gotta do is act naturally Well, I'll bet you I'm gonna be a big star Might win an Oscar you can never tell The movies gonna make me a big star 'Cause I can play the part so well Well I hope you'll come and see me in the movies Then I know that you will plainly see The biggest fool that ever hit the big time And all I gotta do is act naturally We'll make the scene about a man that's sad and lonely And begging down upon his bended knee I'll play the part and I won't need rehearsing All I gotta do is act naturally Well, I'll bet you I'm gonna be a big star Might win an Oscar you can never tell The movies gonna make me a big star 'Cause I can play the part so well Well I hope you'll come and see me in the movies Then I know that you will plainly see The biggest fool that ever hit the big time And all I gotta do is act naturally",True,"[""Johnny Russell"", ""Voni Morrison""]","[""Starr""]"
Ain't She Sweet,Anthology 1,1961,"Oh aint she sweet, Well see her walking down that street. Yes I ask you very confidentially: Aint she sweet? Oh aint she nice, Well look her over once or twice. Yes I ask you very confidentially: Aint she nice? Just cast an eye In her direction. Oh me oh my, Aint that perfection? Oh I repeat Well don't you think that's kind of neat? Yes I ask you very confidentially: Aint she sweet? Oh aint she sweet, Well see her walking down that street. Well I ask you very confidentially: Aint she sweet? Oh aint that nice, Well look it over once or twice. Yes I ask you very confidentially: Aint she nice? Just cast an eye In her direction. Oh me oh my, Aint that perfection? Oh I repeat Well don't you think that's kind of neat? Yes I ask you very confidentially: Aint she sweet? Oh aint she sweet, Well see her walking down that street. Well I ask you very confidentially: Aint she sweet? Well I ask you very confidentially: Aint she sweet?",True,"[""Jack Yellen"", ""Milton Ager""]","[""Lennon""]"
All I've Got to Do,With the Beatles,1963,"Whenever I want you around, yeah. All I gotta do, Is call you on the phone, And you'll come running home, Yeah, that's all I gotta do. And when I, I want to kiss you, yeah. All I gotta do, Is whisper in your ear The words you long to hear, And I'll be kissin' you. Chorus: And the same goes for me, Whenever you want me at all. I'll be here, yes I will, whenever you call. You just gotta call on me, yeah, You just gotta call on me. And when I, I want to kiss you, yeah. All I gotta do, Is call you on the phone, And you'll come running home, Yeah, that's all I gotta do. [Chorus:]",False,"[""John Lennon""]","[""Lennon""]"
All My Loving,With the Beatles,1963,"Close your eyes and I'll kiss you, Tomorrow I'll miss you; Remember I'll always be true. And then while I'm away, I'll write home ev'ry day, And I'll send all my loving to you. I'll pretend that I'm kissing The lips I am missing And hope that my dreams will come true. And then while I'm away, I'll write home ev'ry day, And I'll send all my loving to you. All my loving I will send to you. All my loving, darling I'll be true.",False,"[""Paul McCartney""]","[""McCartney""]"
All Things Must Pass,Anthology 3,1969,Sunrise doesn't last all morning A cloudburst doesn't last all day Seems my love is up And has left you with no warning But it's not always going to be this grey All things must pass All things must pass away Sunset doesn't last all evening A mind can blow those clouds away After all this my love is up And must be leaving It has not always been this grey All things must pass All things must pass away All things must pass None of life's strings can last So I must be on my way And face another day Now the darkness only stays at nighttime In the morning it will fade away Daylight is good At arriving at the right time It's not always going to be this grey All things must pass All things must pass away All things must pass All things must pass away,False,"[""George Harrison""]","[""Harrison""]"
All Together Now,Yellow Submarine,1967,"One, two, three, four Can I have a little more? Five, six, seven eight nine ten I love you. A, B, C, D Can I bring my friend to tea? E, F, G H I J I love you. Sail the ship, Jump the tree Skip the rope, Look at me All together now... Black, white, green, red Can I take my friend to bed? Pink, brown, yellow orange blue I love you All together now... Sail the ship, Jump the tree Skip the rope, Look at me All together now...",False,"[""Paul McCartney"", ""John Lennon""]","[""McCartney"", ""Lennon""]"
All You Need Is Love,Magical Mystery Tour,1967,"Love, love, love. Love, love, love. Love, love, love. There's nothing you can do that can't be done. Nothing you can sing that can't be sung. Nothing you can say but you can learn how to play the game. It's easy. Nothing you can make that can't be made. No one you can save that can't be saved. Nothing you can do but you can learn how to be you in time. It's easy. All you need is love. All you need is love. All you need is love, love. Love is all you need. All you need is love. All you need is love. All you need is love, love. Love is all you need. Nothing you can know that isn't known. Nothing you can see that isn't shown. Nowhere you can be that isn't where you're meant to be. It's easy. All you need is love. All you need is love. All you need is love, love. Love is all you need. All you need is love (all together, now!) All you need is love. (everybody!) All you need is love, love. Love is all you need (love is all you need). Yee-hai! Oh yeah! She loves you, yeah yeah yeah. She loves you, yeah yeah yeah.",False,"[""John Lennon""]","[""Lennon""]"
And I Love Her,A Hard Day's Night,1964,I give her all my love That's all I do And if you saw my love You'd love her too I love her She gives me ev'rything And tenderly The kiss my lover brings She brings to me And I love her A love like ours Could never die As long as I Have you near me Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her,False,"[""Paul McCartney"", ""John Lennon""]","[""McCartney""]"
